MSZoning,GrLivArea,Utilities,OverallQual,YearBuilt,TotalBsmtSF,Heating,HeatingQC,CentralAir,FullBath,BedroomAbvGr,KitchenAbvGr,GarageCars,PoolArea,SalePrice
RL,1710,AllPub,7,2003,856,GasA,Ex,Y,2,3,1,2,0,208500
RL,1262,AllPub,6,1976,1262,GasA,Ex,Y,2,3,1,2,0,181500
RL,1786,AllPub,7,2001,920,GasA,Ex,Y,2,3,1,2,0,223500
RL,1717,AllPub,7,1915,756,GasA,Gd,Y,1,3,1,3,0,140000
RL,2198,AllPub,8,2000,1145,GasA,Ex,Y,2,4,1,3,0,250000
RL,1362,AllPub,5,1993,796,GasA,Ex,Y,1,1,1,2,0,143000
RL,1694,AllPub,8,2004,1686,GasA,Ex,Y,2,3,1,2,0,307000
RL,2090,AllPub,7,1973,1107,GasA,Ex,Y,2,3,1,2,0,200000
RM,1774,AllPub,7,1931,952,GasA,Gd,Y,2,2,2,2,0,129900
RL,1077,AllPub,5,1939,991,GasA,Ex,Y,1,2,2,1,0,118000
RL,1040,AllPub,5,1965,1040,GasA,Ex,Y,1,3,1,1,0,129500
RL,2324,AllPub,9,2005,1175,GasA,Ex,Y,3,4,1,3,0,345000
RL,912,AllPub,5,1962,912,GasA,TA,Y,1,2,1,1,0,144000
RL,1494,AllPub,7,2006,1494,GasA,Ex,Y,2,3,1,3,0,279500
RL,1253,AllPub,6,1960,1253,GasA,TA,Y,1,2,1,1,0,157000
RM,854,AllPub,7,1929,832,GasA,Ex,Y,1,2,1,2,0,132000
RL,1004,AllPub,6,1970,1004,GasA,Ex,Y,1,2,1,2,0,149000
RL,1296,AllPub,4,1967,0,GasA,TA,Y,2,2,2,2,0,90000
RL,1114,AllPub,5,2004,1114,GasA,Ex,Y,1,3,1,2,0,159000
RL,1339,AllPub,5,1958,1029,GasA,TA,Y,1,3,1,1,0,139000
RL,2376,AllPub,8,2005,1158,GasA,Ex,Y,3,4,1,3,0,325300
RM,1108,AllPub,7,1930,637,GasA,Ex,Y,1,3,1,1,0,139400
RL,1795,AllPub,8,2002,1777,GasA,Ex,Y,2,3,1,2,0,230000
RM,1060,AllPub,5,1976,1040,GasA,TA,Y,1,3,1,2,0,129900
RL,1060,AllPub,5,1968,1060,GasA,Ex,Y,1,3,1,1,0,154000
RL,1600,AllPub,8,2007,1566,GasA,Ex,Y,2,3,1,3,0,256300
RL,900,AllPub,5,1951,900,GasA,TA,Y,1,3,1,2,0,134800
RL,1704,AllPub,8,2007,1704,GasA,Ex,Y,2,3,1,3,0,306000
RL,1600,AllPub,5,1957,1484,GasA,TA,Y,1,2,1,1,0,207500
RM,520,AllPub,4,1927,520,GasA,Fa,N,1,1,1,1,0,68500
C (all),1317,AllPub,4,1920,649,GasA,TA,N,1,3,1,1,0,40000
RL,1228,AllPub,5,1966,1228,GasA,Gd,Y,1,3,1,1,0,149350
RL,1234,AllPub,8,2007,1234,GasA,Ex,Y,2,3,1,2,0,179900
RL,1700,AllPub,5,1959,1398,GasA,,Y,1,4,1,2,0,165500
RL,1561,AllPub,9,2005,1561,GasA,Ex,Y,2,2,1,2,0,277500
RL,2452,AllPub,8,2004,1117,GasA,Ex,Y,3,4,1,3,0,309000
RL,1097,AllPub,5,1994,1097,GasA,Ex,Y,1,3,1,2,0,145000
RL,1297,AllPub,5,1954,1297,GasA,Gd,Y,1,3,1,2,0,153000
RL,1057,AllPub,5,1953,1057,GasA,TA,Y,1,3,1,1,0,109000
RL,1152,AllPub,4,1955,0,GasA,TA,N,2,2,2,0,0,82000
RL,1324,AllPub,6,1965,1088,GasA,Ex,Y,2,3,1,2,0,160000
RL,1328,AllPub,5,1959,1350,GasA,Gd,Y,1,2,1,1,0,170000
RL,884,AllPub,5,1983,840,GasA,Gd,Y,1,2,1,2,0,144000
RL,938,AllPub,5,1975,938,GasA,TA,Y,1,3,1,1,0,130250
RL,1150,AllPub,5,1959,1150,GasA,Ex,Y,1,3,1,1,0,141000
RL,1752,AllPub,9,2005,1752,GasA,Ex,Y,2,2,1,2,0,319900
RL,2149,AllPub,7,2003,1434,GasA,Ex,Y,1,1,1,2,0,239686
FV,1656,AllPub,8,2006,1656,GasA,Ex,Y,2,3,1,3,0,249700
RM,1452,AllPub,4,1920,736,GasA,Gd,Y,2,2,3,0,0,113000
RL,955,AllPub,5,1966,955,GasA,,Y,1,3,1,1,0,127000
RL,1470,AllPub,6,1997,794,GasA,Gd,Y,2,3,1,2,0,177000
RM,1176,AllPub,6,1934,816,GasA,TA,Y,1,3,1,2,0,114500
RM,816,AllPub,5,1963,816,GasA,TA,N,1,2,1,2,0,110000
RL,1842,AllPub,9,1981,1842,GasA,Gd,Y,0,0,1,3,0,385000
RL,1360,AllPub,5,1955,384,GasA,TA,Y,1,3,1,2,0,130000
RL,1425,AllPub,6,1964,1425,GasA,Gd,Y,2,3,1,2,0,180500
FV,1739,AllPub,8,1999,970,GasA,Ex,Y,2,3,1,2,0,172500
RL,1720,AllPub,7,2004,860,GasA,Ex,Y,2,3,1,2,0,196500
RL,2945,AllPub,10,2006,1410,GasA,Ex,Y,3,3,1,3,0,438780
RL,780,AllPub,5,1972,780,GasA,Ex,Y,1,2,1,1,0,124900
RL,1158,AllPub,6,2004,1158,GasA,Ex,Y,1,3,1,2,0,158000
RM,1111,AllPub,5,1920,530,GasA,TA,N,1,3,1,1,0,101000
RL,1370,AllPub,8,2006,1370,GasA,Ex,Y,2,2,1,2,0,202500
RM,1710,AllPub,7,1921,576,GasA,Gd,Y,2,3,1,2,0,140000
RL,2034,AllPub,7,1997,1057,GasA,Ex,Y,2,3,1,2,0,219500
RL,2473,AllPub,8,2004,1143,GasA,Ex,Y,2,4,1,3,0,317000
RL,2207,AllPub,7,1970,1947,GasA,TA,Y,2,3,1,2,0,180000
RL,1479,AllPub,7,2003,1453,GasA,Ex,Y,2,3,1,2,0,226000
RM,747,AllPub,4,1945,747,GasA,,Y,1,2,1,1,0,80000
RL,2287,AllPub,7,1953,1304,GasW,TA,Y,2,3,1,2,0,225000
RL,2223,AllPub,7,1973,2223,GasA,Ex,Y,2,3,1,2,0,244000
RL,845,AllPub,4,1982,845,GasA,TA,Y,1,2,1,2,0,129500
RL,1718,AllPub,7,1998,832,GasA,Gd,Y,2,3,1,2,0,185000
RL,1086,AllPub,5,1954,1086,GasA,Gd,Y,1,3,1,2,0,144900
RM,1605,AllPub,3,1915,840,GasA,Gd,N,2,3,2,1,0,107400
RM,988,AllPub,4,1973,462,GasA,,Y,1,2,1,1,0,91000
RL,952,AllPub,4,1956, ,GasA,Ex,Y,1,2,1,1,0,135750
RM,1285,AllPub,5,1948,672,GasA,TA,Y,1,2,1,1,0,127000
RL,1768,AllPub,4,1968,1768,GasA,TA,N,2,4,2,0,0,136500
RM,1230,AllPub,5,1910,440,GasA,Gd,Y,1,2,1,2,0,110000
RL,2142,AllPub,6,1968, ,GasA,TA,Y,2,4,1,1,0,193500
RM,1337,AllPub,6,1998,1237,GasA,Ex,Y,2,2,1,2,0,153500
RL,1563,AllPub,8,2007,1563,GasA,Ex,Y,2,3,1,3,0,245000
RL,1065,AllPub,5,1960, ,GasA,Gd,Y,1,3,1,2,0,126500
RL,1474,AllPub,7,1995,384,GasA,Gd,Y,2,3,1,2,0,168500
RL,2417,AllPub,8,1991,1288,GasA,Ex,Y,2,4,1,2,0,260000
RL,1560,AllPub,6,2005, ,GasA,Ex,Y,2,3,1,2,0,174000
FV,1224,AllPub,6,2009,612,GasA,Ex,Y,2,2,1,2,0,164500
C (all),1526,AllPub,3,1915,1013,GasA,TA,N,1,2,1,0,0,85000
RL,990,AllPub,4,1994,990,GasA,Ex,Y,1,3,1,0,0,123600
RL,1040,AllPub,4,1950,0,GasA,,Y,1,2,1,2,0,109900
RL,1235,AllPub,5,1961,1235,GasA,TA,Y,1,2,1,2,0,98600
RL,964,AllPub,5,1921,876,GasA,Ex,Y,1,2,1,2,0,163500
C (all),2291,AllPub,6,1910,1214,GasW,Ex,N,2,4,2,2,0,133900
RL,1786,AllPub,6,1997,824,GasA,Ex,Y,2,3,1,2,0,204750
RL,1470,AllPub,6,1993,680,GasA,Gd,Y,2,3,1,2,0,185000
RL,1588,AllPub,7,1999,1588,GasA,Ex,Y,2,3,1,2,0,214000
RL,960,AllPub,4,1965,960,GasA,TA,Y,1,3,1,1,0,94750
RL,835,AllPub,5,1920,458,GasA,Fa,N,1,2,1,1,0,83000
RL,1225,AllPub,4,1959,950,GasA,Fa,Y,1,3,1,0,0,128950
RL,1610,AllPub,6,1977,1610,GasA,Gd,Y,2,3,1,2,0,205000
RL,1732,AllPub,6,1985,741,GasA,TA,Y,2,3,1,2,0,178000
RL,1535,AllPub,5,1979,0,GasA,TA,Y,2,4,2,2,0,118964
RL,1226,AllPub,7,2009,1226,GasA,Ex,Y,2,3,1,3,0,198900
RM,1818,AllPub,7,1931,1040,GasA,Ex,Y,1,4,1,1,0,169500
FV,1992,AllPub,8,2003,1053,GasA,Ex,Y,2,3,1,2,0,250000
RM,1047,AllPub,4,1885,641,GasA,Gd,Y,1,2,1,1,0,100000
RM,789,AllPub,5,1948,789,GasA,Ex,Y,1,2,1,1,0,115000
RM,1517,AllPub,5,1919,793,GasW,TA,N,2,3,1,0,0,115000
RL,1844,AllPub,6,1977,1844,GasA,Ex,Y,2,3,1,2,0,190000
RL,1855,AllPub,6,1954, ,GasA,Gd,Y,2,4,1,1,0,136900
RL,1430,AllPub,7,2000,384,GasA,Ex,Y,2,3,1,2,0,180000
RL,2696,AllPub,7,2007,1264,GasA,Ex,Y,2,4,1,3,0,383970
RL,2259,AllPub,6,1953,1809,GasA,,Y,2,3,1,2,0,217000
RL,2320,AllPub,6,1945,1028,GasA,Ex,Y,2,3,1,1,0,259500
FV,1458,AllPub,6,1999,729,GasA,Gd,Y,2,2,1,2,0,176000
RL,1092,AllPub,5,1962,1092,GasA,TA,Y,1,3,1,1,0,139000
RL,1125,AllPub,5,2006,1125,GasA,Gd,Y,1,2,1,2,0,155000
RL,3222,AllPub,7,1990,1673,GasA,Gd,Y,3,5,1,3,0,320000
RL,1456,AllPub,6,2005,728,GasA,Ex,Y,2,3,1,2,0,163990
RL,988,AllPub,6,1969,938,GasA,Ex,Y,1,1,1,2,0,180000
RM,1123,AllPub,4,1939,732,GasA,Gd,Y,1,3,1,1,0,100000
RL,1080,AllPub,6,1958, ,GasA,Gd,Y,1,3,1,1,0,136000
RL,1199,AllPub,6,1993,1199,GasA,Ex,Y,2,2,1,2,0,153900
RL,1586,AllPub,6,1979,1362,GasA,TA,Y,2,3,1,2,0,181000
RM,754,AllPub,6,1935,520,GasA,Gd,N,1,2,1,0,0,84500
RL,958,AllPub,6,1976,1078,GasA,TA,Y,2,2,1,2,0,128000
RM,840,AllPub,5,1930,672,GasA,Ex,Y,1,3,1,0,0,87000
RL,1348,AllPub,6,1966,660,GasA,TA,Y,1,3,1,2,0,155000
RL,1053,AllPub,5,1958,1008,GasA,TA,Y,1,3,1,2,0,150000
RL,2157,AllPub,7,1966,924,GasA,Ex,Y,2,4,1,2,0,226000
RL,2054,AllPub,6,2000, ,GasA,Ex,Y,2,3,1,2,0,244000
RL,1327,AllPub,5,1959,1063,GasA,Gd,Y,1,3,1,2,0,150750
RL,1296,AllPub,8,2001,1267,GasA,Ex,Y,2,2,1,2,0,220000
RL,1721,AllPub,5,1968, ,GasA,Gd,Y,2,3,1,2,0,180000
RL,1682,AllPub,7,1970,1304,GasA,Gd,Y,2,3,1,2,0,174000
RL,1214,AllPub,5,1967,1214,GasA,TA,Y,2,3,1,1,0,143000
RL,1959,AllPub,7,1988,1907,GasA,Gd,Y,3,5,2,3,0,171000
RL,1852,AllPub,8,1999,1004,GasA,Ex,Y,2,3,1,3,0,230000
RL,1764,AllPub,6,1997,928,GasA,Ex,Y,2,3,1,2,0,231500
RL,864,AllPub,4,1971,864,GasA,TA,Y,1,3,1,0,0,115000
RL,1734,AllPub,7,2005,1734,GasA,Ex,Y,2,3,1,2,0,260000
RL,1385,AllPub,5,1952,910,GasA,Fa,Y,2,4,1,2,0,166000
RL,1501,AllPub,7,1999,1490,GasA,Ex,Y,2,3,1,2,0,204000
RM,1728,AllPub,5,1963,1728,GasA,TA,Y,2,6,2,2,0,125000
RM,1709,AllPub,6,2004,970,GasA,Ex,Y,2,3,1,2,0,130000
RM,875,AllPub,5,1931,715,GasA,TA,Y,1,2,1,1,0,105000
RL,2035,AllPub,7,2001,884,GasA,Ex,Y,2,3,1,2,0,222500
RL,1080,AllPub,7,2004,1080,GasA,Ex,Y,1,3,1,0,0,141000
RM,1344,AllPub,5,1936,896,GasA,Gd,Y,1,3,1,1,0,115000
RL,969,AllPub,5,1975,969,GasA,TA,Y,1,3,1,2,0,122000
RL,1710,AllPub,8,2007,1710,GasA,Ex,Y,2,2,1,3,0,372402
RL,1993,AllPub,6,1971,825,GasA,Gd,Y,2,4,1,2,0,190000
RL,1252,AllPub,6,1960,1602,GasA,Gd,Y,1,1,1,2,0,235000
RM,1200,AllPub,6,1923,1200,GasA,TA,Y,1,4,1,1,0,125000
RL,1096,AllPub,6,1924,572,Grav,Fa,N,1,2,1,0,0,79000
RL,1040,AllPub,5,1950,0,GasA,TA,Y,1,2,1,2,0,109500
RL,1968,AllPub,8,2009,774,GasA,Ex,Y,2,4,1,3,0,269500
FV,1947,AllPub,7,2004,991,GasA,Ex,Y,2,3,1,2,0,254900
RL,2462,AllPub,7,2005,1392,GasA,Ex,Y,2,4,1,2,0,320000
RL,1232,AllPub,6,1984,1232,GasA,TA,Y,2,3,1,2,0,162500
RL,2668,AllPub,9,2003,1572,GasA,Ex,Y,2,3,1,3,0,412500
RL,1541,AllPub,7,2005,1541,GasA,Ex,Y,2,3,1,2,0,220000
RL,882,AllPub,4,1956,882,GasA,Ex,Y,1,1,1,0,0,103200
RM,1616,AllPub,6,1926,1149,GasA,Gd,Y,2,3,1,1,0,152000
RL,1355,AllPub,5,1940,644,GasA,Gd,Y,2,4,2,0,0,127500
RL,1867,AllPub,5,1955,1617,GasA,Ex,Y,1,2,1,1,0,190000
RL,2161,AllPub,8,2007,1582,GasA,Ex,Y,1,3,1,3,0,325624
RL,1720,AllPub,7,2004,840,GasA,Ex,Y,2,3,1,2,0,183500
RL,1707,AllPub,8,1981,1686,GasA,,Y,2,2,1,2,0,228000
RM,1382,AllPub,5,1941,720,GasA,TA,Y,1,2,1,2,0,128500
RL,1656,AllPub,6,1960,1080,GasA,Fa,Y,1,3,1,2,0,215000
RL,1767,AllPub,7,1987,1064,GasA,Gd,Y,2,2,1,2,0,239000
RL,1362,AllPub,6,1961,1362,GasA,TA,Y,1,3,1,2,0,163000
RL,1651,AllPub,6,1986,1606,GasA,TA,Y,2,3,1,2,0,184000
RL,2158,AllPub,6,1950,1202,GasA,TA,Y,2,4,1,2,0,243000
RL,2060,AllPub,6,1988,1151,GasA,TA,Y,2,4,1,2,0,211000
RL,1920,AllPub,5,1958,1052,GasA,Ex,Y,2,4,1,2,0,172500
RL,2234,AllPub,9,2008, ,GasA,Ex,Y,2,1,1,3,0,501837
RM,968,AllPub,5,1923,968,GasA,TA,Y,1,2,1,2,0,100000
FV,1525,AllPub,6,2000,756,GasA,Ex,Y,2,3,1,2,0,177000
RL,1802,AllPub,7,1920,793,GasA,Gd,Y,1,4,1,1,0,200100
RL,1340,AllPub,5,1957,0,GasA,Ex,Y,1,3,1,1,0,120000
RM,2082,AllPub,7,2003,1362,GasA,Ex,Y,2,3,1,2,0,200000
RL,1252,AllPub,5,1908,504,GasA,Gd,Y,1,3,1,2,0,127000
RM,3608,AllPub,10,1892,1107,GasA,Ex,Y,2,4,1,3,0,475000
RL,1217,AllPub,7,1990,1188,GasA,Ex,Y,2,3,1,2,0,173000
RL,1656,AllPub,5,1916, ,GasA,Ex,Y,2,3,1,1,0,135000
RL,1224,AllPub,5,1979,1086,GasA,TA,Y,0,2,2,2,0,153337
RL,1593,AllPub,8,2001,1593,GasA,Ex,Y,1,0,1,2,0,286000
RL,2727,AllPub,8,1932,853,GasA,TA,Y,2,3,1,2,0,315000
RL,1479,AllPub,7,1972,725,GasA,Gd,Y,1,4,1,2,0,184000
RL,1431,AllPub,7,1999,1431,GasA,Ex,Y,2,3,1,2,0,192000
RM,1709,AllPub,7,2004,970,GasA,Ex,Y,2,3,1,2,0,130000
RL,864,AllPub,5,1972,864,GasA,TA,Y,1,3,1,1,0,127000
RL,1456,AllPub,6,1976,855,GasA,TA,Y,2,3,1,2,0,148500
RL,1726,AllPub,7,2007,1726,GasA,Ex,Y,2,3,1,3,0,311872
RL,3112,AllPub,8,1918,1360,GasA,,Y,2,4,1,2,512,235000
RM,2229,AllPub,6,1912,755,GasA,Ex,Y,1,5,1,0,0,104000
RL,1713,AllPub,8,2004,1713,GasA,Ex,Y,2,3,1,3,0,274900
RM,1121,AllPub,4,2003,1121,GasA,Ex,Y,2,2,1,2,0,140000
RL,1279,AllPub,6,1977,1196,GasA,TA,Y,2,3,1,2,0,171500
RL,1310,AllPub,6,1924,617,GasA,Gd,Y,2,2,1,1,0,112000
RM,848,AllPub,6,2004,848,GasA,Ex,Y,1,1,1,2,0,149000
RM,1284,AllPub,5,1947,720,GasA,TA,Y,1,2,1,1,0,110000
RL,1442,AllPub,7,1990,1424,GasA,Ex,Y,2,3,1,2,0,180500
RL,1696,AllPub,5,1962,1140,GasA,TA,Y,1,3,1,1,0,143900
RL,1100,AllPub,4,1960,1100,GasA,TA,Y,1,3,1,1,0,141000
RL,2062,AllPub,7,1988,1157,GasA,Ex,Y,2,3,1,2,0,277000
RL,1092,AllPub,6,1964,1092,GasA,,Y,1,3,1,2,0,145000
RL,864,AllPub,5,1925,864,GasA,TA,N,1,2,1,0,0,98000
RL,1212,AllPub,6,2009,1212,GasA,Ex,Y,2,3,1,2,0,186000
FV,1852,AllPub,7,2009,900,GasA,Ex,Y,2,3,1,2,0,252678
RL,990,AllPub,5,1995,990,GasA,,Y,1,3,1,2,0,156000
RL,1392,AllPub,6,1977,689,GasA,,Y,1,3,1,1,0,161750
RL,1236,AllPub,5,1957,1070,GasA,TA,Y,1,2,1,1,0,134450
RL,1436,AllPub,7,2004,1436,GasA,Ex,Y,2,3,1,2,0,210000
RM,1328,AllPub,4,1925,686,GasA,Fa,N,1,3,1,1,0,107000
RL,1954,AllPub,7,1939,798,GasA,Ex,Y,1,3,1,2,0,311500
RL,1248,AllPub,7,2005,1248,GasA,,Y,2,2,1,2,0,167240
RL,1498,AllPub,7,2006,1498,GasA,Ex,Y,2,2,1,2,0,204900
RL,2267,AllPub,6,2002,1010,GasA,Ex,Y,2,4,1,2,0,200000
RL,1552,AllPub,6,1975,713,GasA,TA,Y,2,3,1,2,0,179900
RL,864,AllPub,4,1971,864,GasA,Gd,Y,1,2,1,2,0,97000
RL,2392,AllPub,10,2003,2392,GasA,,Y,2,3,1,3,0,386250
RM,1302,AllPub,5,1971,630,GasA,TA,Y,2,3,1,1,0,112000
RL,2520,AllPub,7,1995,1203,GasA,Ex,Y,2,4,1,3,0,290000
RM,987,AllPub,6,1970,483,GasA,TA,Y,1,2,1,1,0,106000
RL,912,AllPub,5,1967,912,GasA,TA,Y,1,3,1,1,0,125000
RL,1555,AllPub,7,2005,1373,GasA,Ex,Y,2,2,1,2,0,192500
RL,1194,AllPub,6,1959,1194,GasA,TA,Y,1,3,1,1,0,148000
RL,2794,AllPub,8,1995,1462,GasA,Ex,Y,2,4,1,3,0,403000
RM,987,AllPub,6,1972,483,GasA,,Y,1,2,1,1,0,94500
RL,894,AllPub,5,1976,894,GasA,TA,Y,1,3,1,1,0,128200
RL,1960,AllPub,6,2002, ,GasA,Ex,Y,2,4,1,2,0,216500
RM,987,AllPub,6,1971,483,GasA,TA,Y,1,2,1,1,0,89500
RL,1414,AllPub,7,2004,1414,GasA,Ex,Y,2,3,1,2,0,185500
RL,1744,AllPub,7,1993,996,GasA,Ex,Y,2,3,1,2,0,194500
RL,1694,AllPub,8,2007,1694,GasA,Ex,Y,2,3,1,3,0,318000
RL,1487,AllPub,6,1945,735,GasA,TA,Y,1,3,1,1,0,113000
FV,1566,AllPub,8,2008,1566,GasA,Ex,Y,2,3,1,2,0,262500
RM,866,AllPub,5,1945,686,GasA,Gd,Y,1,2,1,0,0,110500
RM,1440,AllPub,5,1900,540,GasA,Gd,N,1,3,1,1,0,79000
RL,1217,AllPub,6,1980,626,GasA,TA,Y,1,3,1,1,0,120000
RL,2110,AllPub,7,1994,948,GasA,Ex,Y,2,3,1,2,0,205000
RL,1872,AllPub,7,1988,1845,GasA,Gd,Y,2,3,1,2,0,241500
RM,1928,AllPub,6,1910,1020,GasA,Gd,N,2,4,2,1,0,137000
RL,1375,AllPub,6,1954,1367,GasA,Ex,Y,1,2,1,2,0,140000
RL,1668,AllPub,7,2003,840,GasA,Ex,Y,2,3,1,2,0,180000
RL,2144,AllPub,6,1958,1444,GasA,Gd,Y,2,4,1,2,0,277000
RL,1306,AllPub,3,1940,728,GasA,Ex,Y,1,3,1,0,0,76500
RM,1625,AllPub,8,2006,1573,GasA,Ex,Y,2,2,1,2,0,235000
RL,1640,AllPub,6,2004,798,GasA,Ex,Y,2,3,1,2,0,173000
RL,1302,AllPub,6,1964,1302,GasA,Ex,Y,2,3,1,1,0,158000
RL,1314,AllPub,5,1957,1314,GasA,TA,Y,1,3,1,1,0,145000
RL,2291,AllPub,7,1999, ,GasA,Ex,Y,2,4,1,2,0,230000
FV,1728,AllPub,6,2003,864,GasA,Ex,Y,2,3,1,2,0,207500
RL,1604,AllPub,7,2006,1604,GasA,Ex,Y,2,3,1,2,0,220000
RL,1792,AllPub,7,2001,963,GasA,Ex,Y,2,3,1,2,0,231500
RM,882,AllPub,5,1956,0,GasA,Gd,Y,1,2,1,1,0,97000
RL,1382,AllPub,6,1962,1362,GasA,TA,Y,1,3,1,2,0,176000
RL,2574,AllPub,8,2007,1482,GasA,Ex,Y,2,3,1,3,0,276000
RL,1212,AllPub,6,1977,506,GasA,TA,Y,1,3,1,2,0,151000
RM,1316,AllPub,5,1929, ,GasA,TA,Y,1,3,1,2,0,130000
RM,764,AllPub,5,1925,680,GasA,Gd,N,1,2,1,2,0,73000
RL,1422,AllPub,6,1981,1422,GasA,TA,Y,2,3,1,2,0,175500
RL,1511,AllPub,6,1997,802,GasA,Gd,Y,2,3,1,2,0,185000
RL,2192,AllPub,5,1939,720,GasA,Ex,Y,2,4,1,1,0,179500
RM,778,AllPub,5,1940,740,GasA,Ex,Y,1,2,1,1,0,120500
RL,1113,AllPub,6,1976,1143,GasA,TA,Y,1,3,1,1,0,148000
FV,1939,AllPub,8,2006,1095,GasA,Gd,Y,2,3,1,3,0,266000
RL,1363,AllPub,7,1954,1385,GasA,Ex,Y,1,2,1,2,0,241500
RL,2270,AllPub,8,1999,1152,GasA,Ex,Y,2,4,1,3,0,290000
RL,1632,AllPub,6,1958, ,GasA,Gd,Y,2,3,1,1,0,139000
RL,816,AllPub,5,1982,816,GasA,TA,Y,1,2,1,1,0,124500
RL,1548,AllPub,7,1925,952,GasW,Gd,N,2,3,1,2,0,205000
RL,1560,AllPub,7,2003,1560,GasA,Ex,Y,2,3,1,2,0,201000
RL,864,AllPub,4,1951,864,GasA,Ex,Y,1,2,1,2,0,141000
RL,2121,AllPub,9,2006,2121,GasA,Ex,Y,2,3,1,3,0,415298
RL,2022,AllPub,7,1977, ,GasA,Ex,Y,2,4,1,2,0,192000
RL,1982,AllPub,7,1989,807,GasA,Gd,Y,2,3,1,2,0,228500
FV,1262,AllPub,6,2006,1262,GasA,Gd,Y,2,2,1,2,0,185000
RL,1314,AllPub,7,2007,1314,GasA,Ex,Y,2,2,1,2,0,207500
RL,1468,AllPub,8,2008,1468,GasA,,Y,2,3,1,3,0,244600
RL,1575,AllPub,6,1992,1575,GasA,Gd,Y,2,2,1,2,0,179200
FV,1250,AllPub,7,2006,625,GasA,Ex,Y,2,2,1,2,0,164700
RL,1734,AllPub,6,1962,912,GasA,TA,Y,1,3,1,2,0,159000
RL,858,AllPub,4,1971,858,GasA,TA,Y,1,3,1,0,0,88000
RL,900,AllPub,5,1967,882,GasA,TA,Y,1,3,1,1,0,122000
